district_code,category,amount,school_year
23311,Districtwide Support,1224728.21,2024-25
23311,Food Services,286548.31,2024-25
23311,Other Instructional,33995.69,2024-25
23311,Special Education,1576942.87,2024-25
23311,Transportation,588495.66,2024-25
23311,Vocational/CTE,334493.3,2024-25
23402,Basic Education,7018673.97,2024-25
23402,COVID Relief,2357.38,2024-25
23402,Community Services,40078.76,2024-25
23402,Compensatory Education,1167651.92,2024-25
23402,Districtwide Support,2183908.32,2024-25
23402,Food Services,531436.54,2024-25
23402,Other Instructional,205927.94,2024-25
23402,Special Education,2243605.03,2024-25
23402,Transportation,790382.63,2024-25
23403,Basic Education,21306595.04,2024-25
23403,Community Services,219.28,2024-25
23403,Compensatory Education,2508866.53,2024-25
23403,Districtwide Support,6220249.63,2024-25
23403,Food Services,1821032.23,2024-25
23403,Other Instructional,820451.03,2024-25
23403,Special Education,5624373.04,2024-25
23403,Transportation,2564810.32,2024-25
23403,Vocational/CTE,2766228.6,2024-25
23404,Basic Education,4197403.94,2024-25
23404,Compensatory Education,732967.64,2024-25
23404,Districtwide Support,1707390.47,2024-25
23404,Food Services,396699.05,2024-25
23404,Other Instructional,136023.81,2024-25
23404,Special Education,1146142.3,2024-25
23404,Transportation,514366.44,2024-25
24014,Basic Education,2930825.25,2024-25
24014,Compensatory Education,590600.2,2024-25
24014,Districtwide Support,1125455.87,2024-25
24014,Food Services,247479.32,2024-25
24014,Other Instructional,53984.17,2024-25
24014,Special Education,575637.11,2024-25
24014,Transportation,233233.98,2024-25
24014,Vocational/CTE,124688.1,2024-25
24019,Basic Education,58021987.82,2024-25
24019,Community Services,591030.67,2024-25
24019,Compensatory Education,5416873.58,2024-25
24019,Districtwide Support,8982962.26,2024-25
24019,Food Services,957095.66,2024-25
24019,Other Instructional,1001370.29,2024-25
24019,Special Education,13323850.29,2024-25
24019,Transportation,1144561.99,2024-25
24019,Vocational/CTE,1859922.32,2024-25
24105,Basic Education,9647292.75,2024-25
24105,Compensatory Education,2069315.41,2024-25
24105,Districtwide Support,2905491.96,2024-25
24105,Food Services,717439.36,2024-25
24105,Other Instructional,472804.69,2024-25
24105,Special Education,2392581.25,2024-25
24105,Transportation,910140.66,2024-25
24105,Vocational/CTE,971011.61,2024-25
24111,Basic Education,7927637.05,2024-25
24111,COVID Relief,1500.0,2024-25
24111,Community Services,2500.0,2024-25
24111,Compensatory Education,1929335.11,2024-25
24111,Districtwide Support,3139599.38,2024-25
24111,Food Services,792086.77,2024-25
24111,Other Instructional,805589.36,2024-25
24111,Special Education,1718538.87,2024-25
24111,Transportation,260851.82,2024-25
24111,Vocational/CTE,1047677.36,2024-25
24122,Basic Education,2178103.52,2024-25
24122,Compensatory Education,484508.81,2024-25
24122,Districtwide Support,1324080.69,2024-25
24122,Food Services,210408.89,2024-25
24122,Other Instructional,187113.27,2024-25
24122,Special Education,531088.48,2024-25
24122,Transportation,187831.42,2024-25
24122,Vocational/CTE,238900.65,2024-25
24350,Basic Education,6728148.87,2024-25
24350,Community Services,12341.89,2024-25
24350,Compensatory Education,885576.4,2024-25
24350,Districtwide Support,2634816.96,2024-25
24350,Food Services,525823.49,2024-25
24350,Other Instructional,114800.48,2024-25
24350,Special Education,1274362.53,2024-25
24350,Transportation,832984.29,2024-25
24350,Vocational/CTE,582851.83,2024-25
24404,Basic Education,9787849.33,2024-25
24404,Community Services,69561.3,2024-25
24404,Compensatory Education,2342714.81,2024-25
24404,Districtwide Support,3376263.47,2024-25
24404,Food Services,733158.42,2024-25
24404,Other Instructional,300567.15,2024-25
24404,Special Education,1909154.6,2024-25
24404,Transportation,1133511.89,2024-25
24404,Vocational/CTE,706856.93,2024-25
24410,Basic Education,4636941.47,2024-25
24410,Compensatory Education,1316842.06,2024-25
24410,Districtwide Support,2646915.93,2024-25
24410,Food Services,467650.55,2024-25
24410,Other Instructional,138981.43,2024-25
24410,Special Education,1139981.45,2024-25
24410,Transportation,209441.45,2024-25
24410,Vocational/CTE,466920.52,2024-25
24915,Basic Education,2941230.5,2024-25
24915,Compensatory Education,351815.41,2024-25
24915,Food Services,134884.31,2024-25
24915,Special Education,373560.59,2024-25
24915,Transportation,272384.32,2024-25
25101,Basic Education,9207392.42,2024-25
25101,Community Services,94447.44,2024-25
25101,Compensatory Education,1498112.52,2024-25
25101,Districtwide Support,3959271.2,2024-25
25101,Food Services,688938.04,2024-25
25101,Other Instructional,367558.69,2024-25
25101,Special Education,3097175.59,2024-25
25101,Transportation,1183657.61,2024-25
25101,Vocational/CTE,1002977.19,2024-25
25116,Basic Education,4247425.68,2024-25
25116,Compensatory Education,972370.46,2024-25
25116,Districtwide Support,1588434.73,2024-25
25116,Food Services,446758.29,2024-25
25116,Other Instructional,206932.02,2024-25
25116,Special Education,1233963.09,2024-25
25116,Transportation,470482.72,2024-25
25116,Vocational/CTE,342297.17,2024-25
25118,Basic Education,12708541.55,2024-25
25118,Community Services,1867889.05,2024-25
25118,Compensatory Education,821698.42,2024-25
25118,Districtwide Support,2030183.89,2024-25
25118,Food Services,465890.99,2024-25
25118,Other Instructional,345394.05,2024-25
25118,Special Education,2421208.94,2024-25
25118,Transportation,585586.97,2024-25
25118,Vocational/CTE,553950.5,2024-25
25155,Basic Education,3470007.83,2024-25
25155,Compensatory Education,413952.24,2024-25
25155,Districtwide Support,1191105.9,2024-25
25155,Food Services,214428.27,2024-25
25155,Other Instructional,143365.92,2024-25
25155,Special Education,530067.22,2024-25
25155,Transportation,347032.35,2024-25
25155,Vocational/CTE,255641.4,2024-25
25160,Basic Education,3704222.86,2024-25
25160,Community Services,255.94,2024-25
25160,Compensatory Education,277472.11,2024-25
25160,Districtwide Support,1181433.11,2024-25
25160,Food Services,326252.06,2024-25
25160,Other Instructional,32610.68,2024-25
25160,Special Education,890510.66,2024-25
25160,Transportation,551561.96,2024-25
25160,Vocational/CTE,392023.96,2024-25
25200,Basic Education,1281244.78,2024-25
25200,Compensatory Education,82434.18,2024-25
25200,Districtwide Support,857694.08,2024-25
25200,Food Services,124651.32,2024-25
25200,Special Education,111161.96,2024-25
25200,Transportation,143498.57,2024-25
25200,Vocational/CTE,2741.22,2024-25
26056,Basic Education,8944302.93,2024-25
26056,COVID Relief,4584.86,2024-25
26056,Compensatory Education,2094204.38,2024-25
26056,Districtwide Support,3586429.23,2024-25
26056,Food Services,894188.97,2024-25
26056,Other Instructional,34527.9,2024-25
26056,Special Education,2725204.94,2024-25
26056,Transportation,1073160.85,2024-25
26056,Vocational/CTE,1221722.85,2024-25
26059,Basic Education,4015451.53,2024-25
26059,Compensatory Education,641365.37,2024-25
26059,Districtwide Support,1532054.18,2024-25
26059,Food Services,230798.35,2024-25
26059,Other Instructional,91678.98,2024-25
26059,Special Education,814037.83,2024-25
26059,Transportation,384897.11,2024-25
26059,Vocational/CTE,322969.97,2024-25
26070,Basic Education,2561686.32,2024-25
26070,Community Services,2920.38,2024-25
26070,Compensatory Education,449471.58,2024-25
26070,Districtwide Support,1571090.41,2024-25
26070,Food Services,336725.87,2024-25
26070,Other Instructional,511.52,2024-25
26070,Special Education,740268.72,2024-25
26070,Transportation,412147.42,2024-25
26070,Vocational/CTE,256744.89,2024-25
27001,Basic Education,27673449.35,2024-25
27001,Compensatory Education,1373027.35,2024-25
27001,Districtwide Support,7627652.77,2024-25
27001,Food Services,1493663.69,2024-25
27001,Other Instructional,851969.77,2024-25
27001,Special Education,7522375.46,2024-25
27001,Transportation,3201798.41,2024-25
27001,Vocational/CTE,2532382.06,2024-25
27003,Basic Education,234706516.21,2024-25
27003,Community Services,1112370.23,2024-25
27003,Compensatory Education,15478229.72,2024-25
27003,Districtwide Support,58828536.9,2024-25
27003,Food Services,10377046.97,2024-25
27003,Other Instructional,6260612.65,2024-25
27003,Special Education,67359267.48,2024-25
27003,Transportation,18877337.32,2024-25
27003,Vocational/CTE,18024750.2,2024-25
27010,Basic Education,299256425.23,2024-25
27010,Community Services,4370030.44,2024-25
27010,Compensatory Education,38056356.45,2024-25
27010,Districtwide Support,76900965.05,2024-25
27010,Food Services,21671209.29,2024-25
27010,Other Instructional,16355243.27,2024-25
27010,Special Education,82736239.97,2024-25
27010,Transportation,20926939.27,2024-25
27010,Vocational/CTE,19302242.53,2024-25
27019,Basic Education,1866125.76,2024-25
27019,Community Services,2997.88,2024-25
27019,Compensatory Education,110443.97,2024-25
27019,Districtwide Support,657671.07,2024-25
27019,Food Services,92524.28,2024-25
27019,Other Instructional,6117.06,2024-25
27019,Special Education,409932.64,2024-25
27019,Transportation,87088.91,2024-25
27083,Basic Education,56131876.93,2024-25
27083,Community Services,630891.84,2024-25
27083,Compensatory Education,2874628.36,2024-25
27083,Districtwide Support,13119373.37,2024-25
27083,Food Services,3447988.59,2024-25
27083,Other Instructional,1583047.52,2024-25
27083,Special Education,13513961.72,2024-25
27083,Transportation,3227372.78,2024-25
27083,Vocational/CTE,3322362.33,2024-25
27320,Basic Education,105647580.21,2024-25
27320,Community Services,2609949.56,2024-25
27320,Compensatory Education,5076605.72,2024-25
27320,Districtwide Support,24638309.07,2024-25
27320,Food Services,4420404.73,2024-25
27320,Other Instructional,2710063.23,2024-25
27320,Special Education,31748514.84,2024-25
27320,Transportation,6404361.91,2024-25
27320,Vocational/CTE,8589935.45,2024-25
27343,Basic Education,16962802.54,2024-25
27343,Community Services,252433.91,2024-25
27343,Compensatory Education,542532.02,2024-25
27343,Districtwide Support,4117220.96,2024-25
27343,Food Services,796470.64,2024-25
27343,Other Instructional,420033.69,2024-25
27343,Special Education,4766396.45,2024-25
27343,Transportation,1429197.61,2024-25
27343,Vocational/CTE,861302.26,2024-25
27344,Basic Education,22647063.61,2024-25
27344,Community Services,44452.31,2024-25
27344,Compensatory Education,1123694.96,2024-25
27344,Districtwide Support,7543647.08,2024-25
27344,Food Services,1402364.39,2024-25
27344,Other Instructional,378328.09,2024-25
27344,Special Education,10079477.94,2024-25
27344,Transportation,2705337.08,2024-25
27344,Vocational/CTE,3677853.09,2024-25
27400,Basic Education,123258876.47,2024-25
27400,Community Services,4172102.12,2024-25
27400,Compensatory Education,16231580.05,2024-25
27400,Districtwide Support,37526678.79,2024-25
27400,Food Services,9570532.86,2024-25
27400,Other Instructional,8110652.73,2024-25
27400,Special Education,55901074.32,2024-25
27400,Transportation,9905312.89,2024-25
27400,Vocational/CTE,10209913.18,2024-25
27401,Basic Education,94700339.14,2024-25
27401,Community Services,373293.81,2024-25
27401,Compensatory Education,4301436.68,2024-25
27401,Districtwide Support,24391093.71,2024-25
27401,Food Services,4002721.79,2024-25
27401,Other Instructional,1736254.38,2024-25
27401,Special Education,27444591.55,2024-25
27401,Transportation,7420981.49,2024-25
27401,Vocational/CTE,6623620.5,2024-25
27402,Basic Education,65923711.93,2024-25
27402,COVID Relief,8598.0,2024-25
27402,Community Services,820685.07,2024-25
27402,Compensatory Education,11283227.99,2024-25
27402,Districtwide Support,15096594.5,2024-25
27402,Food Services,5650928.96,2024-25
27402,Other Instructional,5657442.13,2024-25
27402,Special Education,26399165.43,2024-25
27402,Transportation,6572122.28,2024-25
27402,Vocational/CTE,5485453.15,2024-25
27403,Basic Education,195860396.73,2024-25
27403,Community Services,2582880.99,2024-25
27403,Compensatory Education,18797972.27,2024-25
27403,Districtwide Support,51892232.47,2024-25
27403,Food Services,13296625.82,2024-25
27403,Other Instructional,4888848.61,2024-25
27403,Special Education,57111545.76,2024-25
27403,Transportation,19936098.18,2024-25
27403,Vocational/CTE,19394878.42,2024-25
27404,Basic Education,18612071.0,2024-25
27404,Community Services,458770.79,2024-25
27404,Compensatory Education,1321386.4,2024-25
27404,Districtwide Support,5115733.36,2024-25
27404,Food Services,1344447.76,2024-25
27404,Other Instructional,236503.59,2024-25
27404,Special Education,4598625.47,2024-25
27404,Transportation,2308387.5,2024-25
27404,Vocational/CTE,2103105.89,2024-25
27416,Basic Education,42555473.1,2024-25
27416,Community Services,1202554.31,2024-25
27416,Compensatory Education,1476013.53,2024-25
27416,Districtwide Support,10259721.45,2024-25
27416,Food Services,2147929.84,2024-25
27416,Other Instructional,605479.08,2024-25
27416,Special Education,10847351.32,2024-25
27416,Transportation,3875552.3,2024-25
27416,Vocational/CTE,3474157.69,2024-25
27417,Basic Education,38356057.28,2024-25
27417,COVID Relief,13869.17,2024-25
27417,Community Services,489976.15,2024-25
27417,Compensatory Education,3111565.76,2024-25
27417,Districtwide Support,8775520.71,2024-25
27417,Food Services,2437902.95,2024-25
27417,Other Instructional,1612796.3,2024-25
27417,Special Education,11520188.86,2024-25
27417,Transportation,3633195.28,2024-25
27417,Vocational/CTE,3865575.85,2024-25
27901,Basic Education,5665208.94,2024-25
27901,Community Services,1780221.45,2024-25
27901,Compensatory Education,856484.74,2024-25
27901,Districtwide Support,992511.56,2024-25
27901,Food Services,572226.11,2024-25
27901,Other Instructional,250187.56,2024-25
27901,Special Education,1012794.58,2024-25
27901,Transportation,832270.94,2024-25
27901,Vocational/CTE,482488.62,2024-25
27902,Basic Education,1854597.52,2024-25
27902,Compensatory Education,390050.23,2024-25
27902,Districtwide Support,1244642.8,2024-25
27902,Food Services,209898.02,2024-25
27902,Other Instructional,316660.14,2024-25
27902,Special Education,1080172.34,2024-25
27902,Transportation,255605.89,2024-25
27905,Basic Education,2021638.9,2024-25
27905,Compensatory Education,216431.54,2024-25
27905,Districtwide Support,1284499.83,2024-25
27905,Food Services,54365.04,2024-25
27905,Other Instructional,36530.66,2024-25
27905,Special Education,335597.3,2024-25
27905,Transportation,18634.32,2024-25
28010,Basic Education,168924.93,2024-25
28010,Districtwide Support,181854.51,2024-25
28010,Other Instructional,64507.77,2024-25
28010,Special Education,6897.5,2024-25
28137,Basic Education,8302032.07,2024-25
28137,Community Services,3000.0,2024-25
28137,Compensatory Education,462049.96,2024-25
28137,Districtwide Support,3203406.46,2024-25
28137,Food Services,425443.68,2024-25
28137,Other Instructional,445008.24,2024-25
28137,Special Education,2508182.36,2024-25
28137,Transportation,197450.9,2024-25
28137,Vocational/CTE,178366.8,2024-25
28144,Basic Education,3207396.68,2024-25
28144,Compensatory Education,358840.0,2024-25
28144,Districtwide Support,1423303.29,2024-25
28144,Food Services,278316.12,2024-25
28144,Other Instructional,136001.32,2024-25
28144,Special Education,1168568.84,2024-25
28144,Transportation,260142.85,2024-25
28144,Vocational/CTE,41273.96,2024-25
28149,Basic Education,9034009.64,2024-25
28149,Community Services,196419.39,2024-25
28149,Compensatory Education,612441.65,2024-25
28149,Districtwide Support,3067473.76,2024-25
28149,Food Services,547557.26,2024-25
28149,Other Instructional,272145.41,2024-25
28149,Special Education,2629850.22,2024-25
28149,Transportation,404976.13,2024-25
28149,Vocational/CTE,310552.87,2024-25
29011,Basic Education,5074475.34,2024-25
29011,Community Services,24993.13,2024-25
29011,Compensatory Education,1025622.25,2024-25
29011,Districtwide Support,2327282.38,2024-25
29011,Food Services,593198.64,2024-25
29011,Other Instructional,75281.8,2024-25
29011,Special Education,2017640.59,2024-25
29011,Transportation,838464.6,2024-25
29011,Vocational/CTE,428007.97,2024-25
29100,Basic Education,34649405.02,2024-25
29100,Community Services,56643.09,2024-25
29100,Compensatory Education,4730489.85,2024-25
29100,Districtwide Support,7118281.28,2024-25
29100,Food Services,2608171.45,2024-25
29100,Other Instructional,2133952.52,2024-25
29100,Special Education,10909420.83,2024-25
29100,Transportation,2984031.54,2024-25
29100,Vocational/CTE,4255955.31,2024-25
29101,Basic Education,44525854.07,2024-25
29101,Community Services,708769.6,2024-25
29101,Compensatory Education,4197397.38,2024-25
29101,Districtwide Support,10950680.52,2024-25
29101,Food Services,3390570.11,2024-25
29101,Other Instructional,1708735.73,2024-25
29101,Special Education,16964897.45,2024-25
29101,Transportation,3853512.65,2024-25
29101,Vocational/CTE,4315119.9,2024-25
29103,Basic Education,29041729.54,2024-25
29103,Community Services,75100.34,2024-25
29103,Compensatory Education,1463269.14,2024-25
29103,Districtwide Support,7669652.52,2024-25
29103,Food Services,1522767.34,2024-25
29103,Other Instructional,235493.74,2024-25
29103,Special Education,6574167.19,2024-25
29103,Transportation,2216835.0,2024-25
29103,Vocational/CTE,1372557.67,2024-25
29311,Basic Education,6426987.69,2024-25
29311,Compensatory Education,1452433.04,2024-25
29311,Districtwide Support,2401604.05,2024-25
29311,Food Services,471169.57,2024-25
29311,Other Instructional,302422.08,2024-25
29311,Special Education,2084764.86,2024-25
29311,Transportation,462504.51,2024-25
29311,Vocational/CTE,169256.01,2024-25
29317,Basic Education,5214004.55,2024-25
29317,Compensatory Education,391897.86,2024-25
29317,Districtwide Support,1252890.12,2024-25
29317,Food Services,249230.83,2024-25
29317,Other Instructional,236985.67,2024-25
29317,Special Education,729430.18,2024-25
29317,Transportation,237284.44,2024-25
29320,Basic Education,67387463.17,2024-25
29320,Community Services,111664.0,2024-25
29320,Compensatory Education,11077608.8,2024-25
29320,Districtwide Support,15638609.15,2024-25
29320,Food Services,4689511.63,2024-25
29320,Other Instructional,5185282.93,2024-25
29320,Special Education,22513744.29,2024-25
29320,Transportation,5414544.96,2024-25
29320,Vocational/CTE,9022270.41,2024-25
30002,Basic Education,1160914.19,2024-25
30002,Community Services,411.52,2024-25
30002,Compensatory Education,126708.56,2024-25
30002,Districtwide Support,430981.09,2024-25
30002,Food Services,120061.85,2024-25
30002,Other Instructional,23417.93,2024-25
30002,Special Education,120311.75,2024-25
30002,Transportation,110551.12,2024-25
30029,Basic Education,807731.64,2024-25
30029,Compensatory Education,50057.16,2024-25
30029,Districtwide Support,304429.48,2024-25
30029,Food Services,1863.55,2024-25
30029,Other Instructional,2274.2,2024-25
30029,Special Education,140905.4,2024-25
30029,Transportation,79211.57,2024-25
30031,Basic Education,1545546.74,2024-25
30031,Compensatory Education,94082.49,2024-25
30031,Districtwide Support,484710.19,2024-25
30031,Food Services,102005.51,2024-25
30031,Other Instructional,21517.11,2024-25
30031,Special Education,87779.41,2024-25
30031,Transportation,140262.1,2024-25
30031,Vocational/CTE,3160.28,2024-25
30303,Basic Education,8736644.82,2024-25
30303,Community Services,2674.14,2024-25
30303,Compensatory Education,812515.5,2024-25
30303,Districtwide Support,2604038.39,2024-25
30303,Food Services,521276.58,2024-25
30303,Other Instructional,160961.87,2024-25
30303,Special Education,1680073.93,2024-25
30303,Transportation,790109.12,2024-25
30303,Vocational/CTE,429336.88,2024-25
31002,Basic Education,223417504.17,2024-25
31002,Community Services,4093156.11,2024-25
31002,Compensatory Education,17544720.58,2024-25
31002,Districtwide Support,45536678.78,2024-25
31002,Food Services,11227160.19,2024-25
31002,Other Instructional,11297788.12,2024-25
31002,Special Education,69517044.58,2024-25
31002,Transportation,17706842.4,2024-25
31002,Vocational/CTE,14657957.81,2024-25
31004,Basic Education,97435456.45,2024-25
31004,Community Services,2040663.76,2024-25
31004,Compensatory Education,3796337.92,2024-25
31004,Districtwide Support,21950703.39,2024-25
31004,Food Services,5553075.08,2024-25
31004,Other Instructional,2336873.84,2024-25
31004,Special Education,32260339.76,2024-25
31004,Transportation,10057107.81,2024-25
31004,Vocational/CTE,6364485.25,2024-25
31006,Basic Education,162334025.74,2024-25
31006,Community Services,20916.16,2024-25
31006,Compensatory Education,15910398.33,2024-25
31006,Districtwide Support,31869129.02,2024-25
31006,Food Services,8735314.03,2024-25
31006,Other Instructional,11311592.26,2024-25
31006,Special Education,58661773.53,2024-25
31006,Transportation,13329903.9,2024-25
31006,Vocational/CTE,16185115.71,2024-25
31015,Basic Education,210740956.2,2024-25
31015,COVID Relief,174888.86,2024-25
31015,Community Services,3166665.55,2024-25
31015,Compensatory Education,14038504.26,2024-25
31015,Districtwide Support,43051519.37,2024-25
31015,Food Services,8824096.63,2024-25
31015,Other Instructional,26449791.7,2024-25
31015,Special Education,75432387.54,2024-25
31015,Transportation,19404304.6,2024-25
31015,Vocational/CTE,11874180.03,2024-25
31016,Basic Education,53994495.7,2024-25
31016,COVID Relief,167741.47,2024-25
31016,Community Services,903912.36,2024-25
31016,Compensatory Education,3105370.55,2024-25
31016,Districtwide Support,12168305.88,2024-25
31016,Food Services,3011996.36,2024-25
31016,Other Instructional,1600257.74,2024-25
31016,Special Education,17355550.43,2024-25
31016,Transportation,4717303.21,2024-25
31016,Vocational/CTE,4444074.13,2024-25
31025,Basic Education,86784752.92,2024-25
31025,COVID Relief,9300.14,2024-25
31025,Community Services,2857468.44,2024-25
31025,Compensatory Education,12123495.63,2024-25
31025,Districtwide Support,23714011.9,2024-25
31025,Food Services,6403170.57,2024-25
31025,Other Instructional,6201763.25,2024-25
31025,Special Education,36795922.03,2024-25
31025,Transportation,8876780.72,2024-25
31025,Vocational/CTE,8623277.54,2024-25
31063,Basic Education,498948.61,2024-25
31063,Compensatory Education,48853.85,2024-25
31063,Districtwide Support,333232.13,2024-25
31063,Food Services,16709.55,2024-25
31063,Other Instructional,9584.8,2024-25
31063,Special Education,71400.02,2024-25
31063,Transportation,82356.06,2024-25
31103,Basic Education,57291695.27,2024-25
31103,Community Services,731056.52,2024-25
31103,Compensatory Education,3048807.96,2024-25
31103,Districtwide Support,16243833.85,2024-25
31103,Food Services,2316779.59,2024-25
31103,Other Instructional,2257998.83,2024-25
31103,Special Education,19407016.47,2024-25
31103,Transportation,5636480.14,2024-25
31103,Vocational/CTE,4853437.94,2024-25
31201,Basic Education,106891495.68,2024-25
31201,COVID Relief,2404.75,2024-25
31201,Community Services,5323238.71,2024-25
31201,Compensatory Education,3190013.55,2024-25
31201,Districtwide Support,25706698.12,2024-25
31201,Food Services,3107575.91,2024-25
31201,Other Instructional,2441733.08,2024-25
31201,Special Education,29046963.96,2024-25
31201,Transportation,7817218.72,2024-25
31201,Vocational/CTE,6153560.19,2024-25
31306,Basic Education,25603925.99,2024-25
31306,Community Services,377056.51,2024-25
31306,Compensatory Education,2009140.71,2024-25
31306,Districtwide Support,6989365.21,2024-25
31306,Food Services,1630418.24,2024-25
31306,Other Instructional,906194.96,2024-25
31306,Special Education,9128350.16,2024-25
31306,Transportation,2524667.92,2024-25
31306,Vocational/CTE,1741718.65,2024-25
31311,Basic Education,19945998.92,2024-25
31311,Community Services,9427.33,2024-25
31311,Compensatory Education,2417683.63,2024-25
31311,Districtwide Support,6208410.73,2024-25
31311,Food Services,1310701.31,2024-25
31311,Other Instructional,939117.29,2024-25
31311,Special Education,7525176.93,2024-25
31311,Transportation,2127268.41,2024-25
31311,Vocational/CTE,2202416.91,2024-25
31330,Basic Education,5237568.65,2024-25
31330,COVID Relief,48334.45,2024-25
31330,Community Services,949.17,2024-25
31330,Compensatory Education,582565.06,2024-25
31330,Districtwide Support,1643273.14,2024-25
31330,Food Services,587519.91,2024-25
31330,Other Instructional,496360.12,2024-25
31330,Special Education,1100833.65,2024-25
31330,Transportation,538185.22,2024-25
31330,Vocational/CTE,184272.24,2024-25
31332,Basic Education,19630742.34,2024-25
31332,COVID Relief,967.1,2024-25
31332,Compensatory Education,1789879.39,2024-25
31332,Districtwide Support,5717768.09,2024-25
31332,Food Services,1518941.38,2024-25
31332,Other Instructional,1613555.23,2024-25
31332,Special Education,9372102.93,2024-25
31332,Transportation,2588004.88,2024-25
31332,Vocational/CTE,1576642.05,2024-25
31401,Basic Education,46786254.03,2024-25
31401,COVID Relief,5430.33,2024-25
31401,Community Services,137014.88,2024-25
31401,Compensatory Education,2238711.4,2024-25
31401,Districtwide Support,11712397.94,2024-25
31401,Food Services,2651512.88,2024-25
31401,Other Instructional,1120581.38,2024-25
31401,Special Education,17893534.49,2024-25
31401,Transportation,4504635.95,2024-25
31401,Vocational/CTE,4897729.27,2024-25
32081,Basic Education,302520693.24,2024-25
32081,COVID Relief,860905.98,2024-25
32081,Community Services,21225660.35,2024-25
32081,Compensatory Education,42117042.02,2024-25
32081,Districtwide Support,67488030.98,2024-25
32081,Food Services,21812972.08,2024-25
32081,Other Instructional,10396594.31,2024-25
32081,Special Education,82643404.4,2024-25
32081,Transportation,16991393.81,2024-25
32081,Vocational/CTE,20278964.25,2024-25
32123,Basic Education,870023.09,2024-25
32123,Compensatory Education,48146.29,2024-25
32123,Districtwide Support,385153.19,2024-25
32123,Food Services,3567.67,2024-25
32123,Special Education,154804.55,2024-25
32123,Transportation,65935.87,2024-25
32312,Basic Education,424344.12,2024-25
32312,Compensatory Education,145250.84,2024-25
32312,Districtwide Support,321267.44,2024-25
32312,Food Services,33236.19,2024-25
32312,Special Education,95130.52,2024-25
32312,Transportation,128520.41,2024-25
32325,Basic Education,13507529.75,2024-25
32325,Community Services,190303.47,2024-25
32325,Compensatory Education,1107659.14,2024-25
32325,Districtwide Support,3988924.34,2024-25
32325,Food Services,737961.97,2024-25
32325,Other Instructional,156243.94,2024-25
32325,Special Education,2811568.12,2024-25
32325,Transportation,1484299.44,2024-25
32325,Vocational/CTE,1242613.82,2024-25
32326,Basic Education,16285401.6,2024-25
32326,Community Services,398863.25,2024-25
32326,Compensatory Education,1183063.14,2024-25
32326,Districtwide Support,5427517.49,2024-25
32326,Food Services,1451172.71,2024-25
32326,Other Instructional,301274.65,2024-25
32326,Special Education,4674516.5,2024-25
32326,Transportation,1472518.7,2024-25
32326,Vocational/CTE,1077980.02,2024-25
32354,Basic Education,94240610.9,2024-25
32354,COVID Relief,16530.47,2024-25
32354,Community Services,432046.19,2024-25
32354,Compensatory Education,5752265.69,2024-25
32354,Districtwide Support,24709651.24,2024-25
32354,Food Services,5102757.75,2024-25
32354,Other Instructional,1288087.24,2024-25
32354,Special Education,29251964.32,2024-25
32354,Transportation,7554231.04,2024-25
32354,Vocational/CTE,8875189.07,2024-25
32356,Basic Education,132338158.99,2024-25
32356,COVID Relief,16202.06,2024-25
32356,Community Services,8693777.74,2024-25
32356,Compensatory Education,10984013.01,2024-25
32356,Districtwide Support,33463670.13,2024-25
32356,Food Services,8894401.56,2024-25
32356,Other Instructional,2243198.68,2024-25
32356,Special Education,41000870.39,2024-25
32356,Transportation,8114553.51,2024-25
32356,Vocational/CTE,12268813.99,2024-25
32358,Basic Education,6786367.01,2024-25
32358,Community Services,10985.91,2024-25
32358,Compensatory Education,292321.07,2024-25
32358,Districtwide Support,2459172.28,2024-25
32358,Food Services,424553.02,2024-25
32358,Other Instructional,29083.98,2024-25
32358,Special Education,1528364.42,2024-25
32358,Transportation,1090449.88,2024-25
32358,Vocational/CTE,1274755.16,2024-25
32360,Basic Education,44796408.3,2024-25
32360,Community Services,1014253.59,2024-25
32360,Compensatory Education,4682932.44,2024-25
32360,Districtwide Support,14413639.33,2024-25
32360,Food Services,4575911.48,2024-25
32360,Other Instructional,2135860.07,2024-25
32360,Special Education,14817779.39,2024-25
32360,Transportation,4445890.72,2024-25
32360,Vocational/CTE,4089472.93,2024-25
32361,Basic Education,32418473.07,2024-25
32361,Community Services,1400975.32,2024-25
32361,Compensatory Education,4630805.46,2024-25
32361,Districtwide Support,10309891.61,2024-25
32361,Food Services,3001245.95,2024-25
32361,Other Instructional,797573.1,2024-25
32361,Special Education,11633029.76,2024-25
32361,Transportation,3359578.23,2024-25
32361,Vocational/CTE,2642856.22,2024-25
32362,Basic Education,5773717.27,2024-25
32362,Compensatory Education,379352.53,2024-25
32362,Districtwide Support,2144959.85,2024-25
32362,Food Services,418048.63,2024-25
32362,Other Instructional,24533.05,2024-25
32362,Special Education,1077279.23,2024-25
32362,Transportation,839805.89,2024-25
32362,Vocational/CTE,336315.28,2024-25
32363,Basic Education,30189098.31,2024-25
32363,Community Services,764175.37,2024-25
32363,Compensatory Education,3323944.1,2024-25
32363,Districtwide Support,10258512.46,2024-25
32363,Food Services,2496297.24,2024-25
32363,Other Instructional,862974.66,2024-25
32363,Special Education,7939220.24,2024-25
32363,Transportation,2223529.26,2024-25
32363,Vocational/CTE,2367619.21,2024-25
32414,Basic Education,22337549.62,2024-25
32414,COVID Relief,672268.06,2024-25
